t,acc
10.51,-4.57E-02
10.52,-9.62E-02
10.53,-7.69E-02
10.54,-8.02E-02
10.55,-7.70E-02
10.56,-5.89E-02
10.57,-6.19E-02
10.58,-7.55E-02
10.59,-7.74E-02
10.6,-6.42E-02
10.61,-8.56E-02
10.62,-8.88E-02
10.63,-6.98E-02
10.64,-4.34E-02
10.65,-1.35E-02
10.66,-6.85E-02
10.67,-1.24E-01
10.68,-1.04E-01
10.69,-8.13E-02
10.7,-4.74E-02
10.71,-2.05E-02
10.72,-5.46E-02
10.73,-7.86E-02
10.74,-8.51E-02
10.75,-1.05E-01
10.76,-7.28E-02
10.77,-6.16E-02
10.78,-6.35E-02
10.79,-2.92E-02
10.8,-6.42E-02
10.81,-7.42E-02
10.82,-8.53E-02
10.83,-1.14E-01
10.84,-6.03E-02
10.85,-4.43E-02
10.86,-6.74E-02
10.87,-8.74E-02
10.88,-6.26E-02
10.89,-3.33E-02
10.9,-6.96E-02
10.91,-8.02E-02
10.92,-8.60E-02
10.93,-1.11E-01
10.94,-9.17E-02
10.95,-2.38E-02
10.96,-1.77E-02
10.97,-8.80E-02
10.98,-1.11E-01
10.99,-6.85E-02
11,-5.70E-02
11.01,-8.50E-02
11.02,-5.84E-02
11.03,-5.52E-02
11.04,-5.69E-02
11.05,-7.00E-02
11.06,-1.07E-01
11.07,-8.12E-02
11.08,-7.13E-02
11.09,-4.63E-02
11.1,-3.96E-02
11.11,-5.56E-02
11.12,-8.88E-02
11.13,-1.16E-01
11.14,-6.93E-02
11.15,-4.23E-02
11.16,-5.51E-02
11.17,-1.03E-01
11.18,-7.17E-02
11.19,-4.27E-02
11.2,-9.05E-02
11.21,-7.78E-02
11.22,-6.80E-02
11.23,-5.69E-02
11.24,-5.96E-02
11.25,-7.78E-02
11.26,-7.67E-02
11.27,-7.98E-02
11.28,-5.37E-02
11.29,-3.89E-02
11.3,-6.74E-02
11.31,-1.03E-01
11.32,-9.29E-02
11.33,-9.39E-02
11.34,-5.96E-02
11.35,-1.24E-02
11.36,-8.36E-02
11.37,-5.94E-02
11.38,-5.96E-02
11.39,-1.41E-01
11.4,-7.09E-02
11.41,-5.73E-02
11.42,-5.92E-02
11.43,-2.94E-02
11.44,-9.52E-02
11.45,-8.61E-02
11.46,-7.17E-02
11.47,-9.96E-02
11.48,-4.98E-02
11.49,-4.52E-02
11.5,-7.43E-02
11.51,-5.65E-02
11.52,-8.60E-02
11.53,-8.32E-02
11.54,-4.58E-02
11.55,-7.70E-02
11.56,-7.38E-02
11.57,-6.55E-02
11.58,-7.52E-02
11.59,-7.61E-02
11.6,-7.60E-02
11.61,-5.45E-02
11.62,-6.15E-02
11.63,-7.12E-02
11.64,-9.29E-02
11.65,-8.39E-02
